Role,Level,Description,Compensation
Software Engineer,Junior,Entry-level developer proficient in a programming language and basic software engineering concepts. Works under close supervision.,$70k–$90k/year
Software Engineer,Mid-level,"Has 3–5 years of experience, can independently handle assigned modules, and understands design patterns and system architecture basics.",$90k–$120k/year
Software Engineer,Senior,"Over 5 years of experience, capable of leading projects, mentoring juniors, and designing scalable systems.",$120k–$160k/year
UI/UX Designer,Junior,Skilled in basic design tools and creating wireframes. Works under supervision to implement designs.,$60k–$80k/year
UI/UX Designer,Mid-level,3–5 years of experience with expertise in design systems and user research. Can own small projects.,$80k–$100k/year
UI/UX Designer,Senior,"5+ years of experience, leads design strategy, conducts extensive user testing, and mentors others.",$100k–$130k/year
QA Engineer/Tester,Junior,Basic knowledge of testing frameworks and tools. Focuses on executing test cases and logging issues.,$55k–$75k/year
QA Engineer/Tester,Mid-level,Experienced in writing test scripts and performing automation testing. Works independently.,$75k–$95k/year
QA Engineer/Tester,Senior,"5+ years of experience, designs test strategies, and integrates testing into CI/CD pipelines.",$95k–$125k/year
DevOps Engineer,Junior,Familiar with basic CI/CD pipelines and cloud platforms. Works on predefined tasks.,$80k–$100k/year
DevOps Engineer,Mid-level,"Experienced with managing infrastructure, scripting, and monitoring tools.",$100k–$130k/year
DevOps Engineer,Senior,"Leads infrastructure architecture, cost optimization, and team mentoring.",$130k–$170k/year
Product Manager,Junior,Assists in backlog grooming and gathering requirements under supervision.,$70k–$90k/year
Product Manager,Mid-level,Manages product roadmaps and prioritizes development cycles.,$90k–$120k/year
Product Manager,Senior,Drives long-term product strategy and represents the product vision across teams.,$120k–$150k/year
Scrum Master,Junior,Supports Agile ceremonies and learns to facilitate team activities.,$60k–$80k/year
Scrum Master,Mid-level,"Independently leads Agile teams, ensures alignment with Agile principles.",$80k–$110k/year
Scrum Master,Senior,Coaches teams across the organization and drives Agile adoption strategies.,$110k–$140k/year
Business Analyst,Junior,Gathers requirements and prepares documentation under supervision.,$60k–$80k/year
Business Analyst,Mid-level,Experienced in facilitating stakeholder workshops and analyzing complex requirements.,$80k–$100k/year
Business Analyst,Senior,Leads enterprise-level requirement analysis and mentors junior analysts.,$100k–$130k/year
Data Engineer,Junior,Works on basic data pipelines and understands ETL concepts.,$70k–$90k/year
Data Engineer,Mid-level,Builds scalable pipelines and integrates various data sources.,$90k–$120k/year
Data Engineer,Senior,"Oversees data architecture, governance, and performance optimization.",$120k–$160k/year
System Administrator,Junior,"Manages basic IT tasks, troubleshooting, and user account setups.",$50k–$70k/year
System Administrator,Mid-level,Handles system configurations and infrastructure optimizations.,$70k–$90k/year
System Administrator,Senior,"Leads IT strategy, implements advanced security measures, and manages cross-system integrations.",$90k–$120k/year
Security Specialist,Junior,Assists in vulnerability scans and basic incident response.,$70k–$90k/year
Security Specialist,Mid-level,Conducts threat analysis and configures security tools.,$90k–$120k/year
Security Specialist,Senior,Develops organization-wide security policies and oversees compliance.,$120k–$150k/year
